iter	RMSE
0	3.29085501
1	3.271101554
2	3.254731576
3	3.238014037
4	3.220019139
5	3.206627053
6	3.18548553
7	3.169390202
8	3.160261868
9	3.145490106
10	3.128023913
11	3.1106843
12	3.094527557
13	3.078344275
14	3.062685559
15	3.049654086
16	3.028723056
17	3.009582065
18	2.997283084
19	2.984087066
20	2.968182157
21	2.960029917
22	2.943208102
23	2.932595213
24	2.925976443
25	2.915266055
26	2.903893362
27	2.888565646
28	2.87501217
29	2.86035995
30	2.849677488
31	2.835273036
32	2.830556227
33	2.82032045
34	2.807638919
35	2.793276899
36	2.780816203
37	2.767239971
38	2.754139453
39	2.742076433
40	2.730289731
41	2.717993206
42	2.712329644
43	2.69988948
44	2.685262634
45	2.676884213
46	2.664873871
47	2.654817094
48	2.644065759
49	2.632422582
50	2.626495259
51	2.614776599
52	2.602624388
53	2.58996698
54	2.583782289
55	2.576295789
56	2.567883412
57	2.55852299
58	2.556206313
59	2.545757254
60	2.537024706
61	2.528525312
62	2.518891191
63	2.50850704
64	2.499460745
65	2.492063693
66	2.48283206
67	2.47210355
68	2.462176062
69	2.451714955
70	2.44226606
71	2.431009843
72	2.419810772
73	2.407770693
74	2.398479046
75	2.389676848
76	2.383918077
77	2.374427449
78	2.361976212
79	2.353353667
80	2.340949238
81	2.330431344
82	2.324102577
83	2.316098213
84	2.307912357
85	2.299166324
86	2.293655484
87	2.286148139
88	2.2784615
89	2.270881494
90	2.264261664
91	2.257144229
92	2.251492069
93	2.24385509
94	2.23666704
95	2.23151612
96	2.221703377
97	2.215450922
98	2.210940637
99	2.203461899
100	2.194043521
101	2.187274025
102	2.177359794
103	2.171987597
104	2.162580039
105	2.160170196
106	2.152757338
107	2.146447469
108	2.13786282
109	2.131052525
110	2.122370138
111	2.117369661
112	2.10997774
113	2.105131845
114	2.099194747
115	2.094112585
116	2.086252198
117	2.081691964
118	2.077506711
119	2.069093112
120	2.063829292
121	2.06085815
122	2.051313191
123	2.043695271
124	2.035422966
125	2.031160657
126	2.026210867
127	2.021295616
128	2.012971407
129	2.005973901
130	2.002140213
131	1.994047883
132	1.984617123
133	1.978530961
134	1.974622855
135	1.968604952
136	1.963879242
137	1.960064656
138	1.95419067
139	1.949474029
140	1.938685241
141	1.93148879
142	1.924364457
143	1.915653384
144	1.908223529
145	1.904267841
146	1.899105394
147	1.892046631
148	1.884900474
149	1.878546262
150	1.871923258
151	1.86433031
152	1.861600406
153	1.855992625
154	1.851040572
155	1.845403564
156	1.840683215
157	1.830740776
158	1.824239737
159	1.818739764
160	1.814109446
161	1.808864453
162	1.803072151
163	1.797515993
164	1.791695959
165	1.788001306
166	1.782120262
167	1.779804884
168	1.772205444
169	1.766756187
170	1.76047572
171	1.754450354
172	1.750656461
173	1.743708213
174	1.736002974
175	1.731444446
176	1.726138682
177	1.722105368
178	1.716991186
179	1.712091668
180	1.707474597
181	1.7035099
182	1.698088046
183	1.694467533
184	1.687831312
185	1.680966479
186	1.673360407
187	1.670762132
188	1.665244266
189	1.657239573
190	1.654837579
191	1.64584742
192	1.639036377
193	1.63019962
194	1.62243128
195	1.616106351
196	1.611507914
197	1.607492847
198	1.602332108
199	1.598574424
200	1.597185382
201	1.5924784
202	1.585588373
203	1.579831178
204	1.572996215
205	1.568398806
206	1.564788479
207	1.558507831
208	1.554656158
209	1.551889695
210	1.544925567
211	1.540165447
212	1.536028791
213	1.532679462
214	1.526834745
215	1.521717659
216	1.517611866
217	1.515910477
218	1.510423612
219	1.504948538
220	1.50381579
221	1.501569973
222	1.500192006
223	1.492567958
224	1.487586115
225	1.483768826
226	1.480794856
227	1.477279539
228	1.4704448
229	1.469056641
230	1.467729211
231	1.467053503
232	1.46496835
233	1.459731167
234	1.456852006
235	1.453482158
236	1.449256054
237	1.445367578
238	1.441421655
239	1.43505111
240	1.433857581
241	1.433179064
242	1.426759235
243	1.424511122
244	1.420587583
245	1.413851668
246	1.409122034
247	1.405109545
248	1.402332851
249	1.394330876
250	1.390101208
251	1.386959064
252	1.3842926
253	1.382086567
254	1.377844183
255	1.373997474
256	1.373173379
257	1.367661141
258	1.365254722
259	1.364311681
260	1.361377224
261	1.354703054
262	1.349208252
263	1.341342904
264	1.334006875
265	1.330414741
266	1.326795119
267	1.324534136
268	1.319952491
269	1.315770664
270	1.311010963
271	1.309982977
272	1.30744373
273	1.303445209
274	1.297271697
275	1.291057639
276	1.288506792
277	1.283982011
278	1.280734314
279	1.276990385
280	1.274782206
281	1.270568092
282	1.269286218
283	1.267837422
284	1.263139922
285	1.259498185
286	1.252733082
287	1.250850159
288	1.246674627
289	1.246014185
290	1.241402997
291	1.235700751
292	1.233042544
293	1.228115592
294	1.225174404
295	1.22353995
296	1.223071097
297	1.220255143
298	1.216236275
299	1.213748265
300	1.207361515
301	1.204455306
302	1.198491172
303	1.19794753
304	1.194300765
305	1.190428343
306	1.186210557
307	1.182794819
308	1.18085222
309	1.180290407
310	1.174937266
311	1.172071384
312	1.170082551
313	1.166430065
314	1.161821185
315	1.160169997
316	1.155081462
317	1.154089444
318	1.151528405
319	1.147922857
320	1.144854463
321	1.140046386
322	1.136391787
323	1.131233153
324	1.1271528
325	1.126035824
326	1.120856599
327	1.118965756
328	1.114620486
329	1.111012847
330	1.105948345
331	1.101242852
332	1.09704089
333	1.092386047
334	1.088868663
335	1.0837282
336	1.081216742
337	1.077668909
338	1.075964457
339	1.073804226
340	1.072456098
341	1.068348034
342	1.066560363
343	1.062782448
344	1.060756661
345	1.05942283
346	1.056894588
347	1.053005094
348	1.048863775
349	1.045503049
350	1.040750313
351	1.036951083
352	1.033396724
353	1.029572406
354	1.028502673
355	1.026575799
356	1.023260865
357	1.019836617
358	1.01778267
359	1.015440668
360	1.013039767
361	1.011248079
362	1.007571453
363	1.006316346
364	1.004105626
365	0.9992094586
366	0.9988169677
367	0.9970826349
368	0.9958165431
369	0.9936926405
370	0.9923018082
371	0.9890735174
372	0.9853845626
373	0.9811624075
374	0.9786743964
375	0.9778640776
376	0.973986487
377	0.9712779896
378	0.9694568937
379	0.9659668404
380	0.9649796901
381	0.9644576491
382	0.9641694604
383	0.960340845
384	0.9578841757
385	0.9532389926
386	0.9496866496
387	0.9470878101
388	0.9452245707
389	0.9427629607
390	0.9388909475
391	0.9350498777
392	0.9326077232
393	0.931287743
394	0.9282750542
395	0.9262130232
396	0.9228613388
397	0.9182116055
398	0.9142326113
399	0.9129198362
400	0.9095102565
401	0.9069850869
402	0.9039736657
403	0.9031518985
404	0.9005574286
405	0.8983346809
406	0.8973321298
407	0.89258903
408	0.8897784412
409	0.8878734915
410	0.8871200422
411	0.885774483
412	0.8848802635
413	0.8826739657
414	0.8796154582
415	0.8766346741
416	0.8735283475
417	0.8710557706
418	0.8674218173
419	0.8636017313
420	0.8598611345
421	0.8577809228
422	0.8571197605
423	0.8543911795
424	0.8520617812
425	0.8493903929
426	0.8492420181
427	0.8471360536
428	0.8456004412
429	0.842678029
430	0.8412934488
431	0.8400258427
432	0.8367544295
433	0.8334280406
434	0.8317025496
435	0.8309251962
436	0.8292749783
437	0.8272625777
438	0.8254112096
439	0.8252299437
440	0.8211568301
441	0.8190853033
442	0.817229801
443	0.8153480482
444	0.8140653785
445	0.8105316322
446	0.8085219697
447	0.8057857385
448	0.8031476169
449	0.8014012898
450	0.7999324748
451	0.7968844921
452	0.7942140608
453	0.7920437075
454	0.7917975096
455	0.7893751226
456	0.7879641627
457	0.786731347
458	0.7839088782
459	0.7828698862
460	0.7827758823
461	0.7826164904
462	0.7813023113
463	0.7787438533
464	0.7766250283
465	0.7737141492
466	0.7706043752
467	0.7668365242
468	0.7638753004
469	0.7609423889
470	0.7586349331
471	0.7557895661
472	0.7551267862
473	0.7542438464
474	0.7532137623
475	0.7499397153
476	0.7480038685
477	0.7444473788
478	0.7425488697
479	0.7423461493
480	0.7418726264
481	0.7391158985
482	0.7357795281
483	0.7333186148
484	0.7312128644
485	0.7284305404
486	0.7256313403
487	0.7225837045
488	0.7211835889
489	0.7190630106
490	0.716098688
491	0.7141043385
492	0.7121776042
493	0.7096693234
494	0.7095503967
495	0.7091725748
496	0.7090872795
497	0.706738104
498	0.7037734755
499	0.7018037638
500	0.6992225451
501	0.6975293659
502	0.6955347433
503	0.693662516
504	0.6924812142
505	0.6900716909
506	0.6897730571
507	0.6874494558
508	0.6866114375
509	0.6855447313
510	0.6831142464
511	0.6805790875
512	0.6803031947
513	0.6782894204
514	0.6755350307
515	0.6746338477
516	0.6734831409
517	0.6732825698
518	0.6713009911
519	0.669505641
520	0.6681807942
521	0.6658551281
522	0.6641606862
523	0.662096121
524	0.6590581417
525	0.6569865229
526	0.6539978234
527	0.6538482571
528	0.6510870541
529	0.6497627906
530	0.6475282102
531	0.6461467258
532	0.6447087141
533	0.6422735037
534	0.6403209118
535	0.6383574508
536	0.6372763515
537	0.6361877641
538	0.6361123587
539	0.6337291413
540	0.6322525662
541	0.629960941
542	0.6286379245
543	0.6262276366
544	0.6246746075
545	0.6234589168
546	0.6233881825
547	0.6219107995
548	0.619750017
549	0.6178248953
550	0.6173614509
551	0.6169047608
552	0.6150340869
553	0.6132354255
554	0.6124293778
555	0.6115634846
556	0.6095523824
557	0.607286173
558	0.6056193034
559	0.6038586914
560	0.6032622645
561	0.6013006147
562	0.5996341225
563	0.5986073599
564	0.5971187967
565	0.5955062542
566	0.5934850686
567	0.592556538
568	0.5913642974
569	0.5912212273
570	0.5896537036
571	0.588582246
572	0.5884734358
573	0.5867705611
574	0.585398794
575	0.5842810183
576	0.5825165066
577	0.5812358438
578	0.5791050623
579	0.5781088651
580	0.5775579802
581	0.5752574409
582	0.5732715458
583	0.5719278136
584	0.5718720516
585	0.570168081
586	0.5683912901
587	0.5675094775
588	0.5656123642
589	0.5643327794
590	0.563079447
591	0.5605567893
592	0.5592933769
593	0.5584867029
594	0.5561247442
595	0.5540556851
596	0.5538314699
597	0.5524584444
598	0.5512418368
599	0.5490114913
600	0.5470338426
601	0.5447277041
602	0.5431743835
603	0.5409823335
604	0.5398618187
605	0.5385905044
606	0.5373257691
607	0.5347866579
608	0.5327412753
609	0.5313846549
610	0.5297553153
611	0.5288505236
612	0.5271102368
613	0.5249557837
614	0.5232194717
615	0.5216702442
616	0.5205066153
617	0.5192991474
618	0.5177575156
619	0.5161498691
620	0.5139967451
621	0.5133946479
622	0.5119244515
623	0.5097552769
624	0.5083598526
625	0.5082846691
626	0.5071455617
627	0.5069664586
628	0.5051271283
629	0.5050706416
630	0.5030667076
631	0.5009702696
632	0.499622468
633	0.4979406327
634	0.496134648
635	0.4953689341
636	0.4939555364
637	0.4924254544
638	0.4909421096
639	0.4901121036
640	0.4892189686
641	0.4886561201
642	0.4875413
643	0.4862910652
644	0.4854136834
645	0.4847736542
646	0.4832226101
647	0.4830988986
648	0.4830354406
649	0.4813232256
650	0.4807832481
651	0.4800033794
652	0.4787959422
653	0.4779845351
654	0.4768812604
655	0.475492311
656	0.4742913776
657	0.4732147095
658	0.4723981979
659	0.4707351714
660	0.4698326696
661	0.4690142603
662	0.4668505577
663	0.4649711164
664	0.463390444
665	0.4621884883
666	0.461697169
667	0.4612031705
668	0.4611174443
669	0.4602968699
670	0.4599147946
671	0.4589198338
672	0.4580216766
673	0.4563626031
674	0.4553158343
675	0.4545539828
676	0.452943001
677	0.4525399836
678	0.4514712881
679	0.4499812676
680	0.4496585265
681	0.4482702048
682	0.4469764744
683	0.4451832266
684	0.4448428614
685	0.4439476091
686	0.4422204125
687	0.4416121617
688	0.4412447661
689	0.4406527196
690	0.4401883217
691	0.4388830786
692	0.4385924934
693	0.4383236539
694	0.4367628712
695	0.4365664095
696	0.4356034771
697	0.4348825432
698	0.4348320108
699	0.4333696425
700	0.4325380251
701	0.4310744524
702	0.4310242887
703	0.4299560449
704	0.4283481185
705	0.4272727973
706	0.4261672823
