iter	Passed	Remaining
0	2	2476
1	5	2521
2	9	3102
3	12	3022
4	14	2940
5	17	2886
6	20	2889
7	22	2850
8	25	2832
9	28	2840
10	31	2813
11	35	2887
12	39	2965
13	41	2945
14	44	2924
15	47	2927
16	50	2923
17	53	2928
18	57	2946
19	60	2975
20	65	3075
21	69	3071
22	71	3054
23	74	3038
24	76	2970
25	78	2949
26	81	2931
27	84	2920
28	86	2898
29	90	2935
30	94	2951
31	97	2942
32	99	2926
33	102	2911
34	105	2900
35	107	2888
36	110	2874
37	112	2860
38	115	2856
39	120	2885
40	122	2869
41	125	2858
42	127	2831
43	131	2852
44	133	2840
45	136	2830
46	139	2818
47	141	2816
48	146	2834
49	148	2824
50	151	2815
51	157	2872
52	161	2880
53	165	2891
54	168	2887
55	172	2913
56	177	2940
57	180	2931
58	181	2898
59	185	2905
60	188	2899
61	191	2894
62	194	2888
63	197	2884
64	202	2906
65	204	2894
66	207	2885
67	209	2875
68	213	2879
69	216	2870
70	218	2861
71	221	2852
72	223	2843
73	227	2850
74	231	2850
75	233	2843
76	236	2838
77	239	2830
78	242	2830
79	245	2823
80	248	2814
81	250	2807
82	253	2800
83	257	2812
84	260	2807
85	263	2802
86	266	2795
87	269	2795
88	272	2787
89	275	2782
90	277	2774
91	279	2761
92	284	2773
93	287	2766
94	289	2761
95	292	2755
96	296	2755
97	299	2752
98	301	2745
99	304	2739
100	307	2734
101	311	2745
102	315	2745
103	317	2738
104	320	2735
105	325	2749
106	329	2752
107	333	2753
108	337	2759
109	343	2779
110	347	2780
111	351	2790
112	354	2784
113	357	2776
114	359	2769
115	362	2762
116	366	2763
117	368	2756
118	372	2754
119	374	2749
120	377	2742
121	380	2736
122	382	2730
123	385	2724
124	388	2719
125	392	2724
126	395	2717
127	398	2711
128	401	2708
129	403	2702
130	406	2697
131	409	2691
132	412	2685
133	414	2680
134	417	2676
135	421	2680
136	424	2674
137	427	2668
138	429	2661
139	432	2659
140	435	2654
141	438	2648
142	441	2644
143	443	2638
144	448	2645
145	451	2639
146	453	2633
147	456	2629
148	459	2624
149	462	2621
150	465	2615
151	467	2609
152	470	2603
153	473	2600
154	476	2599
155	479	2593
156	481	2587
157	484	2580
158	491	2600
159	495	2602
160	499	2601
161	505	2613
162	508	2613
163	512	2614
164	517	2616
165	520	2617
166	523	2611
167	526	2609
168	530	2610
169	533	2605
170	536	2600
171	539	2595
172	542	2591
173	544	2585
174	547	2580
175	549	2574
176	552	2569
177	555	2566
178	558	2561
179	561	2556
180	564	2552
181	566	2546
182	569	2544
183	572	2539
184	575	2534
185	577	2529
186	580	2524
187	583	2521
188	587	2521
189	590	2517
190	593	2512
191	595	2507
192	600	2509
193	602	2504
194	605	2499
195	607	2493
196	611	2494
197	615	2491
198	617	2487
199	620	2482
200	623	2477
201	626	2474
202	629	2470
203	631	2465
204	634	2461
205	637	2457
206	641	2456
207	643	2451
208	646	2446
209	649	2441
210	654	2448
211	658	2448
212	662	2447
213	666	2447
214	670	2447
215	674	2447
216	677	2442
217	680	2439
218	682	2434
219	685	2431
220	688	2428
221	691	2423
222	695	2423
223	698	2418
224	700	2414
225	703	2409
226	706	2405
227	710	2404
228	713	2400
229	715	2395
230	718	2391
231	721	2387
232	724	2385
233	727	2381
234	730	2377
235	733	2373
236	736	2370
237	739	2366
238	741	2361
239	744	2357
240	746	2352
241	750	2349
242	753	2348
243	756	2344
244	759	2341
245	762	2337
246	765	2333
247	768	2330
248	771	2327
249	774	2323
250	777	2320
251	780	2316
252	783	2312
253	785	2307
254	788	2303
255	791	2300
256	794	2296
257	796	2291
258	799	2286
259	801	2282
260	806	2282
261	808	2278
262	811	2273
263	814	2269
264	819	2273
265	823	2272
266	826	2270
267	831	2272
268	835	2271
269	840	2272
270	843	2268
271	847	2268
272	850	2264
273	853	2260
274	856	2256
275	860	2257
276	863	2254
277	866	2249
278	868	2245
279	872	2243
280	874	2238
281	877	2234
282	880	2230
283	883	2226
284	886	2225
285	890	2223
286	893	2219
287	896	2215
288	898	2210
289	901	2206
290	904	2202
291	906	2198
292	909	2194
293	913	2192
294	915	2188
295	918	2184
296	921	2180
297	923	2176
298	927	2174
299	930	2170
300	933	2166
301	935	2162
302	938	2159
303	943	2159
304	946	2156
305	948	2152
306	951	2148
307	954	2144
308	957	2141
309	960	2137
310	962	2133
311	965	2129
312	969	2127
313	972	2124
314	974	2120
315	977	2115
316	980	2113
317	986	2115
318	990	2114
319	994	2113
320	999	2114
321	1003	2112
322	1006	2110
323	1011	2110
324	1014	2106
325	1017	2103
326	1019	2098
327	1023	2096
328	1027	2094
329	1029	2090
330	1032	2086
331	1035	2082
332	1039	2081
333	1042	2079
334	1046	2076
335	1052	2079
336	1055	2076
337	1059	2074
338	1064	2074
339	1067	2073
340	1071	2070
341	1075	2070
342	1082	2074
343	1087	2074
344	1092	2073
345	1095	2071
346	1100	2070
347	1104	2068
348	1110	2070
349	1121	2082
350	1127	2085
351	1131	2082
352	1135	2080
353	1139	2079
354	1144	2078
355	1147	2076
356	1156	2082
357	1161	2083
358	1167	2084
359	1173	2085
360	1179	2087
361	1182	2084
362	1186	2082
363	1192	2082
364	1195	2080
365	1199	2077
366	1202	2074
367	1207	2073
368	1211	2071
369	1214	2068
370	1218	2066
371	1222	2063
372	1226	2061
373	1231	2060
374	1235	2058
375	1239	2056
376	1243	2054
377	1246	2051
378	1252	2051
379	1257	2051
380	1262	2050
381	1266	2048
382	1270	2046
383	1273	2043
384	1277	2040
385	1280	2036
386	1283	2033
387	1287	2031
388	1291	2028
389	1294	2025
390	1298	2021
391	1301	2017
392	1303	2013
393	1306	2010
394	1310	2007
395	1316	2007
396	1319	2004
397	1323	2002
398	1327	2000
399	1331	1997
400	1336	1996
401	1340	1994
402	1343	1990
403	1346	1985
404	1349	1982
405	1352	1979
406	1355	1975
407	1358	1971
408	1361	1967
409	1366	1966
410	1370	1964
411	1373	1960
412	1376	1956
413	1379	1953
414	1383	1950
415	1387	1947
416	1391	1945
417	1397	1945
418	1400	1941
419	1402	1937
420	1406	1933
421	1409	1930
422	1412	1926
423	1416	1923
424	1419	1919
425	1423	1918
426	1426	1914
427	1429	1910
428	1433	1907
429	1436	1904
430	1440	1901
431	1443	1897
432	1446	1894
433	1451	1892
434	1454	1888
435	1458	1886
436	1461	1882
437	1464	1879
438	1467	1875
439	1470	1871
440	1474	1868
441	1480	1869
442	1486	1869
443	1492	1868
444	1497	1867
445	1505	1870
446	1510	1868
447	1516	1868
448	1521	1866
449	1525	1864
450	1529	1861
451	1536	1863
452	1541	1861
453	1546	1859
454	1551	1857
455	1555	1855
456	1559	1853
457	1564	1851
458	1567	1847
459	1571	1844
460	1578	1845
461	1581	1842
462	1584	1837
463	1588	1834
464	1592	1832
465	1595	1828
466	1600	1826
467	1603	1822
468	1606	1819
469	1609	1815
470	1613	1811
471	1617	1809
472	1622	1807
473	1626	1804
474	1629	1801
475	1633	1797
476	1636	1793
477	1639	1790
478	1642	1786
479	1647	1784
480	1652	1782
481	1655	1779
482	1660	1777
483	1664	1774
484	1669	1772
485	1674	1770
486	1678	1768
487	1682	1765
488	1685	1761
489	1689	1757
490	1692	1754
491	1695	1750
492	1698	1746
493	1702	1744
494	1707	1741
495	1710	1738
496	1714	1734
497	1717	1731
498	1721	1728
499	1724	1724
500	1729	1722
501	1734	1720
502	1738	1717
503	1743	1715
504	1746	1711
505	1749	1708
506	1753	1704
507	1757	1701
508	1761	1699
509	1764	1695
510	1767	1691
511	1771	1688
512	1774	1684
513	1777	1681
514	1781	1677
515	1785	1675
516	1788	1671
517	1792	1667
518	1795	1664
519	1798	1660
520	1802	1657
521	1805	1653
522	1808	1649
523	1812	1646
524	1818	1645
525	1821	1641
526	1827	1640
527	1832	1638
528	1837	1635
529	1842	1633
530	1845	1629
531	1848	1626
532	1852	1623
533	1855	1619
534	1858	1615
535	1861	1611
536	1864	1607
537	1868	1604
538	1871	1600
539	1874	1596
540	1877	1592
541	1880	1589
542	1883	1585
543	1886	1580
544	1888	1576
545	1891	1572
546	1895	1569
547	1898	1565
548	1900	1561
549	1903	1557
550	1906	1553
551	1909	1549
552	1912	1545
553	1915	1542
554	1918	1538
555	1924	1537
556	1927	1533
557	1930	1529
558	1934	1526
559	1938	1522
560	1940	1518
561	1943	1514
562	1946	1510
563	1950	1507
564	1952	1503
565	1955	1499
566	1958	1495
567	1961	1491
568	1964	1488
569	1967	1484
570	1969	1480
571	1972	1475
572	1977	1473
573	1982	1471
574	1986	1468
575	1990	1464
576	1993	1461
577	1997	1458
578	2004	1457
579	2007	1453
580	2010	1449
581	2012	1445
582	2016	1442
583	2019	1438
584	2021	1434
585	2025	1430
586	2028	1426
587	2032	1423
588	2034	1419
589	2037	1415
590	2040	1411
591	2043	1408
592	2046	1404
593	2048	1400
594	2051	1396
595	2054	1392
596	2059	1390
597	2062	1386
598	2065	1382
599	2068	1378
600	2071	1375
601	2074	1371
602	2077	1367
603	2080	1364
604	2085	1361
605	2087	1357
606	2090	1353
607	2092	1349
608	2095	1345
609	2098	1341
610	2101	1337
611	2104	1333
612	2106	1330
613	2110	1327
614	2114	1323
615	2117	1319
616	2119	1315
617	2122	1311
618	2125	1308
619	2128	1304
620	2130	1300
621	2133	1296
622	2136	1292
623	2140	1289
624	2143	1285
625	2148	1283
626	2152	1280
627	2156	1277
628	2159	1273
629	2163	1270
630	2166	1267
631	2171	1264
632	2174	1260
633	2176	1256
634	2180	1253
635	2182	1249
636	2185	1245
637	2188	1241
638	2190	1237
639	2195	1234
640	2197	1230
641	2200	1226
642	2202	1223
643	2205	1219
644	2208	1215
645	2211	1211
646	2213	1207
647	2215	1203
648	2218	1199
649	2223	1197
650	2226	1193
651	2228	1189
652	2231	1185
653	2234	1182
654	2237	1178
655	2240	1174
656	2242	1170
657	2245	1167
658	2249	1164
659	2252	1160
660	2255	1156
661	2258	1152
662	2260	1149
663	2264	1145
664	2266	1141
665	2269	1138
666	2272	1134
667	2274	1130
668	2279	1127
669	2282	1124
670	2284	1120
671	2287	1116
672	2290	1113
673	2293	1109
674	2296	1105
675	2299	1101
676	2301	1098
677	2305	1094
678	2310	1092
679	2314	1089
680	2319	1086
681	2323	1083
682	2327	1080
683	2336	1079
684	2342	1077
685	2346	1074
686	2350	1070
687	2354	1067
688	2356	1063
689	2361	1060
690	2364	1057
691	2367	1053
692	2369	1049
693	2372	1046
694	2376	1042
695	2379	1039
696	2382	1035
697	2384	1031
698	2388	1028
699	2390	1024
700	2393	1020
701	2396	1017
702	2398	1013
703	2401	1009
704	2403	1005
705	2406	1002
706	2409	998
707	2412	994
708	2415	991
709	2418	987
710	2420	983
711	2423	980
712	2426	976
713	2429	972
714	2431	969
715	2434	965
716	2437	961
717	2441	958
718	2444	955
719	2447	951
720	2449	948
721	2452	944
722	2455	940
723	2457	936
724	2460	933
725	2462	929
726	2465	925
727	2469	922
728	2474	920
729	2478	916
730	2482	913
731	2486	910
732	2490	907
733	2494	904
734	2497	900
735	2500	896
736	2503	893
737	2506	889
738	2509	886
739	2512	882
740	2515	879
741	2518	875
742	2521	872
743	2524	868
744	2527	865
745	2530	861
746	2532	857
747	2535	854
748	2537	850
749	2540	846
750	2543	843
751	2546	839
752	2550	836
753	2553	833
754	2556	829
755	2559	825
756	2561	822
757	2564	818
758	2567	815
759	2570	811
760	2573	808
761	2577	805
762	2580	801
763	2583	798
764	2585	794
765	2588	790
766	2591	787
767	2594	783
768	2597	780
769	2599	776
770	2602	773
771	2606	769
772	2609	766
773	2611	762
774	2614	759
775	2617	755
776	2620	752
777	2623	748
778	2626	745
779	2628	741
780	2632	738
781	2635	734
782	2640	731
783	2643	728
784	2648	725
785	2651	722
786	2655	718
787	2659	715
788	2664	712
789	2667	708
790	2669	705
791	2672	701
792	2675	698
793	2678	694
794	2680	691
795	2683	687
796	2686	684
797	2690	681
798	2692	677
799	2695	673
800	2698	670
801	2701	666
802	2705	663
803	2708	660
804	2711	656
805	2715	653
806	2718	650
807	2721	646
808	2724	643
809	2727	639
810	2730	636
811	2733	632
812	2735	629
813	2738	625
814	2741	622
815	2746	619
816	2748	615
817	2751	612
818	2754	608
819	2757	605
820	2759	601
821	2762	598
822	2765	594
823	2767	591
824	2770	587
825	2773	584
826	2776	580
827	2779	577
828	2781	573
829	2784	570
830	2787	566
831	2790	563
832	2793	560
833	2796	556
834	2800	553
835	2805	550
836	2809	547
837	2814	544
838	2817	540
839	2821	537
840	2826	534
841	2830	531
842	2834	527
843	2837	524
844	2840	521
845	2843	517
846	2845	514
847	2848	510
848	2851	507
849	2855	503
850	2858	500
851	2860	496
852	2863	493
853	2867	490
854	2869	486
855	2872	483
856	2875	479
857	2878	476
858	2882	473
859	2885	469
860	2888	466
861	2890	462
862	2893	459
863	2896	455
864	2898	452
865	2901	448
866	2904	445
867	2906	442
868	2910	438
869	2913	435
870	2915	431
871	2918	428
872	2921	425
873	2924	421
874	2927	418
875	2930	414
876	2932	411
877	2937	408
878	2939	404
879	2942	401
880	2945	397
881	2948	394
882	2951	391
883	2954	387
884	2956	384
885	2959	380
886	2962	377
887	2966	374
888	2971	371
889	2974	367
890	2978	364
891	2982	361
892	2986	357
893	2989	354
894	2994	351
895	2998	347
896	3002	344
897	3006	341
898	3009	338
899	3011	334
900	3014	331
901	3017	327
902	3021	324
903	3023	321
904	3026	317
905	3029	314
906	3032	310
907	3035	307
908	3038	304
909	3040	300
910	3043	297
911	3047	294
912	3050	290
913	3053	287
914	3055	283
915	3058	280
916	3062	277
917	3064	273
918	3067	270
919	3069	266
920	3073	263
921	3076	260
922	3079	256
923	3081	253
924	3084	250
925	3087	246
926	3090	243
927	3093	239
928	3095	236
929	3098	233
930	3103	229
931	3105	226
932	3108	223
933	3110	219
934	3114	216
935	3116	213
936	3119	209
937	3122	206
938	3124	203
939	3129	199
940	3132	196
941	3136	193
942	3140	189
943	3144	186
944	3147	183
945	3151	179
946	3158	176
947	3162	173
948	3164	170
949	3167	166
950	3170	163
951	3172	159
952	3175	156
953	3178	153
954	3182	149
955	3184	146
956	3187	143
957	3190	139
958	3192	136
959	3195	133
960	3198	129
961	3201	126
962	3203	123
963	3206	119
964	3210	116
965	3213	113
966	3215	109
967	3218	106
968	3221	103
969	3224	99
970	3227	96
971	3229	93
972	3232	89
973	3236	86
974	3238	83
975	3241	79
976	3244	76
977	3247	73
978	3250	69
979	3253	66
980	3256	63
981	3258	59
982	3262	56
983	3265	53
984	3268	49
985	3271	46
986	3274	43
987	3277	39
988	3280	36
989	3282	33
990	3285	29
991	3289	26
992	3292	23
993	3295	19
994	3297	16
995	3303	13
996	3307	9
997	3310	6
998	3314	3
999	3319	0
